comment,positive,negative,rude,offensive,abusive,hate speech
تیرے جمن تے لعنت,0,1,0,1,1,0
پتا نہیں ایسے کھٹیا لوگوں کے بغیر تمہارا کیوں گزارا نہیں,0,1,0,1,1,0
گلالئی اسماعیل کی لگاؤ یار پکچرز کہیں سے ڈھونڈ کر,0,1,0,1,1,0
تیری پیدائش پر لعنت,0,1,0,1,1,0
چور لوہارنی اب یہ فیصد پلاسٹک ہے باقی فیصد ہمارا چوری کیا ہوا مال ہے لکھ دی لعنت اس کی شکل اور سارے ٹبر پر,0,1,0,1,1,0
پاکستان کے لیے عذاب ہے یہ عورت,0,1,0,1,1,0
چل جھوٹی,0,1,0,1,1,0
یہ عورتیں بھی بس جلد ڈائنوسار کی آخری پیڑھی کی طرح ناپید ہونے والی ہیں,0,1,0,1,1,0
ٹیٹو والے بروٹوں سے اور بھی منحوس لگتی ہے,0,1,0,1,1,0
دوسروں کی موت کا مذاق بنانے والی اللہ کرے جلدی ا وپر جاۓ آمین ث م آمین,0,1,0,1,1,0
ل ع ن ت ظالم جھوٹے چور پر,0,1,0,1,1,0
اس ک تی کو اللہ عبرت کا نشان بنائے,0,1,0,1,1,0
انٹرنیشنل جھوٹی,0,1,0,1,1,0
کھوطے کی بچی,0,1,0,1,1,0
لکھ دی لعنت ادے جمن تے,0,1,0,1,1,0
نانی کی پیدائیش پر دونوں ھاتھوں سے بے شمار اور لگاتار لعنت ہی لعنت,0,1,0,1,1,0
انشااللہ یہ آخری ہوگی,0,1,0,1,1,0
لخ لعنت تیرے جمن تے,0,1,0,1,1,0
اللہ کرے اگلی سالگرہ تک یہ ڈائن جہنم واصل ہو چکی ہو,0,1,0,1,1,0
دلہر خاتون,0,1,0,1,1,0
اے جمی کیوں,0,1,0,1,1,0
زوف جگر کی مریض لگتی ہے,0,1,0,1,1,0
ایک چ سکی برانڈی کی لگا کر,0,1,0,1,1,0
دھر فٹے منہ,0,1,0,1,1,0
سرٹیفایڈ چورنی,0,1,0,1,1,0
کلیجہ چبانے والی ڈائن,0,1,0,1,1,0
بوڈھی سال کی ہو گئی کاغذوں میں,0,1,0,1,1,0
ماہ کا کام ماہ میں کرنے والی چڑیل,0,1,0,1,1,0
ہہ چائے نہں پاکستانی عوام کا خون پی رہی ہے,0,1,0,1,1,0
پاؤ نا سا پیش کر ماں تو بھی اس کی چپیڑیں مار مار کے ساتھ لیں گے منہ تیرا کھوتی کی کی طرح کا ہے تیری ماں پر چڑھنے کا پروگرام ہے پکا,0,1,0,1,1,0
ڈوب کے مر جاؤ,0,1,0,1,1,0
حرام کی کمائی پر پلنے والی کلیجہ چبانے والی ڈائن کے پیدائش کے دن پر میں تہہ دل سے اس سزا یافتہ مجرم چور میری لندن تو کیا پاکستان میں بھی کوئی پراپرٹی نہیں ہے بھگوڑی نانی پر لعنت بھیجتا ہوں,0,1,0,1,1,0
چیک کرو اندر ووڈکا نہ ھو جیسے یہ بھونکتی ھے پئے بغیر اتنا بھونکا نہیں جا سکتا,0,1,0,1,1,0
سادگی اپنائیں مہنگی اشیاء سے اجتناب کریں,0,1,0,1,1,0
عوام کا خون پی رہی ہے,0,1,0,1,1,0
پھٹی ہوئ اولاد حرام مال کی پیداوار,0,1,0,1,1,0
اللہ پاک اس ناگن سے پاکستان کو محفوظ رکھے,0,1,0,1,1,0
یہ پاکستانیوں کا خون پینے والی ڈائن ہے,0,1,0,1,1,0
لکھ دیاں لانتاں,0,1,0,1,1,0
دل کی گہرائیوں سے لکھ دی لعنت بے شمار,0,1,0,1,1,0
تم اس دھرتی پر بوجھ ہو سب چلتی بنو,0,1,1,0,0,0
لکہ دی لعنت,0,1,0,1,1,0
اس دن پر بھی لعنت,0,1,0,1,1,0
فٹے منہ تیرے منحوس نانی,0,1,0,1,1,0
چور کی بیٹی چورنی غدار وطن فروش کی بیٹی غدار,0,1,0,1,1,0
بے شرم بے حیا عورت پورن مووی میکر,0,1,0,1,1,0
چوروں کی سردارنی,0,1,0,1,1,0
جمن تے لعنت,0,1,0,1,1,0
مغرور ڈائن,0,1,0,1,1,0
او بی بی بس کر دے مصنوعی دکھنا بڈھی ہو گئی ہے تو,0,1,0,1,1,0
اس کا ہر خلیہ جھوٹا ہے اور اس کی ہرنس حرام کی کمائی سے پروان چڑھی ہے,0,1,0,1,1,0
گھٹیا ترین,0,1,0,1,1,0
فضول عورت کلجہ چبنے والی عورت,0,1,0,1,1,0
ہندہ,0,1,0,1,1,0
امداد تک کھا جانے والا خاندان,0,1,0,1,0,1
معذرت کے ساتھ یہ چوتیا کلیجہ چبانے والی عورت ہے,0,1,0,1,0,1
صرف لعنت پاکستان کی سیاست کی سب سے بڑی بلیک میلر ہے,0,1,0,1,0,1
لعنت ہو ایسے دن پہ,0,1,0,1,1,0
بوٹ چاٹ,0,1,0,1,1,0
فتنہ فساد,0,1,0,1,0,1
یہ وہ شیرنی ھے جس نے نیازی کی حرامی اولاد کی نیند حرام حرام کر دی ھے,0,1,0,1,1,0
ہندہ جگر خور,0,1,0,1,1,0
سب سے بڑی جھوٹی اور مکار عورت ہے,0,1,0,1,1,0
سال سرجری زدہ انتہاٸ کوڑ بد تہزیب بد اخلاق اور انتہا درجے کی جھوٹی اور ماشإ اللہ پاکستان کی سپریم کورٹ سے سند یافتہ چورنی نانی اماں دوبارہ سناوں,0,1,0,1,1,0
گیراج انٹی جو ماہ کی منصوبہ کو صرف ماہ کی رکارڈ مدت میں پورا کرنے کی ماہر ہے ہندہ آف رائیونڈ,0,1,0,1,1,0
کاش جو یہ پی رہی ہے اس میں زہر ہوتا,0,1,0,1,1,0
اللہ اس کو درد ناک موت دے,0,1,0,1,1,0
تیرے جمن نے ل ع ن ت,0,1,0,1,1,0
اس کی پیدائش اور افزائش صرف پاکستان کی رسوائی کا سبب بن رہی ھے\nاس ڈائن و خائن کی موجودگی صرف فساد و فتنہ ھے,0,1,0,1,1,0
پاکستان کی تاریخ جھوٹی عورت,0,1,0,1,1,0
کاش اس رات اس کے باپ کو کنڈوم مل جاتا,0,1,0,1,1,0
اس کا خاندان پورے پاکستان کو پی گیا ہے یہ تو پھر بھی ایک کپ کافی کا پی رہی,0,1,0,1,1,0
یوم سیاہ,0,1,0,1,1,0
منحوس کلیجہ چبانے والی ڈائن,0,1,0,1,1,0
غلیظ مخلوق تھو,0,1,0,1,1,0
کھسرا او وی بے س را,0,1,0,1,1,0
گٹر کا منہ,0,1,0,1,1,0
مر جا ڈوب کے,0,1,0,1,1,0
جم کے خوش ہی ہوئی ہوسی آ,0,1,0,1,1,0
کلیجہ چبانے والی عورت ھندہ,0,1,0,1,1,0
ریڈیو آکاشوانی,0,1,0,1,1,0
مردانہ گھڑی تو یہ پہنی ہوئی ہے اور گھڑی چور عمران خان ہے اسی کے لیے چرائی ہوگی,0,1,0,1,1,0
خون پینے والی ڈائن,0,1,0,1,1,0
کتے کی موت مرے تڑپ تڑپ کر مرے تکلیف عزیت ماتم دیکھ کر مرے ہندہ,0,1,0,1,1,0
رائیونڈ کی رنڈی وڈے حاجیوں کی رکھیل ڈائن چڑیل,0,1,0,1,1,0
پورن مووی ڈائریکٹر,0,1,0,1,1,0
انٹرنیشل بوڈھی گشتی,0,1,0,1,1,0
ڈاکو رانی,0,1,0,1,1,0
قطری کا جوس وہ بھی گلاس میں,0,1,0,1,1,0
اللہ پاک اس مکروہ عورت کو اس کے بیٹے کی لاش تحفے میں دے آمین ثم آمین,0,1,0,1,1,0
کتیا گشتی گھٹیا چورنی فراری اشتہاری کی بیٹی بدزبانی کمال کی نخرے غرور فخر ناجائز دولت کا لوگو کی وڈیوز بنا کر بلیک میل کرنے والی کلیجہ چبا جانے والی ڈائن اگر کم ہے تو ار لکھوں گیراج وی شادی کے ماہ بعد بچہ پیدا کر دینے والی بد معاش منہ پر سرجری کروا کر شکل بگاڑنے والی,0,1,0,1,1,0
اللہ پاک یہ اس عورت کی آخری برتھ ڈے ہو خدایا اس گندے خاندان کی گندی سیاست سے پاکستان کو اور اسکی عوام کو اپنی امان میں رکھ آمین,0,1,0,1,1,0
بیغیرتوں کی آیڈل,0,1,0,1,1,0
قوم کی بیٹی کو میری طرف سے سالگ رہ مبارک میاں جدو آوے گا تے لگ پتہ جاوے گا ووٹ شیر کا,0,1,0,1,1,0
لکھ لعنت,0,1,0,1,1,0
بھاڑ میں جاۓ فتنی عورت,0,1,0,1,1,0
پاگل کتیا,0,1,0,1,1,0
لخ دی لعنت تیرے جمن تے,0,1,0,1,1,0
قطری نانی کے سکتے ہیں,0,1,0,1,1,0
اللہ یہ دن آپ کو اگلے سال نا دیکھائے,0,1,0,1,1,0
لعنت اسکی شکل پہ چورنی ہے اور غلیظ عورت ہے,0,1,0,1,1,0
ہور چوپو,0,1,0,1,1,0
سدا سہاگن رھو,0,1,0,1,1,0
الل ه کرے اگلے سال یہ نہ ہو آمین,0,1,0,1,1,0
برسی مبارک ہو,0,1,0,1,1,0
ھماری قوم پر مسلط تین جوکروں میں سے ایک دوسرا زرداری تیسرا عمران ان تینوں سے جان چھڑاؤ ملک سنورنے لگے گا,0,1,0,1,1,0
مر جا دفع ہو,0,1,0,1,1,0
اللہ یہ اس کی آخری برتھ ڈے بنا دے,0,1,0,1,1,0
لعنت ہو اس تاریخ پر,0,1,0,1,1,0
چور کی بیٹی چورنی,0,1,0,1,1,0
اللہ پاک برباد کرے اور اسکی نسلوں کو بھی عبرت کا نشان بناٸےآمین,0,1,0,1,1,0
ایک بہادر لیڈر ایک نڈر کپتان ایک سچا انسان ایک ہینڈسم پرائم منسٹر,0,1,0,1,1,0
ایک نمبر کی نوکرانی ہے یہ بکری جھوٹی,0,1,0,1,1,0
پاکستانی ہندہ,0,1,0,1,1,0
کچرے کا ڈھیر,0,1,0,1,1,0
لعنتی چوڑیل جاھل گھٹیا عورت,0,1,0,1,1,0
دفع کرو زبان دا سواد ای خراب کرنا اے,0,1,0,1,1,0
میں آزاد ہو مجھے کسی بھی پارٹی میں کوئی انٹرس نہیں ہے\nمگر شیرنی کو شیرنی ہی کہنا پڑتا ہیں,0,1,0,1,1,0
ڈاٸن,0,1,0,1,1,0
اللہ اسکو جلد اپنی ماں سے ملا دے آمین,0,1,0,1,1,0
آللہ کرے موت آیے اس کی,0,1,0,1,1,0
اس تصویر میں شاعرہ حنا علامہ پھدم فضلاتو سے مخاطب ہیں کہ,0,1,0,1,1,0
کرنانی چڑیل,0,1,0,1,1,0
مغروں لتھ,0,1,0,1,1,0
لعنتی ہرام کی نسل,0,1,0,1,1,0
فتنہ عورت,0,1,0,1,1,0
لعنت اس پر اور اس کے چور خاندان پر,0,1,0,1,1,0
لاکھ دی لعنت ایسی زندگی سے تو موت بہتر تھی\n\nسب تقر تھو کر رہے ہیں,0,1,0,1,1,0
اسٹیل چور کر پلاسٹک پر اگئی فقیرنی,0,1,0,1,1,0
تم بھی کوئی بڑی چیز ہو جس کو گالیاں پڑوانی ہوں اس کی تصویر ٹوئٹ کر کے لوگوں سے پوچھتی ہو اس کے لئے ایک لفظ,0,1,1,0,0,0
ح سن پہ ت ھو حسن ریا کار پہ ت ھو\nپیار شطرنج نظر آئے تو ا س پیار پہ ت ھو\nجس کے پل و سے چمکتے ہوں شہنشاہ کے بوٹ\nایسی دربار سے بخشی ہوئی دستار پہ ت ھو\nجو فقط اپنے ہی لوگوں کا گلا کا ٹتی ہو\nایسی تلوار مع صاحب تلوار پہ ت ھو,0,1,1,0,0,0
پاکستان کی میا حلیفہ,0,1,0,1,1,0
گھٹیا ترین عورت پاکستان کی سب سے بڑی دشمن اور بلیک میلر ویڈیوز کی ڈائریکٹر,0,1,0,1,1,0
مریم نواز تم گھٹیا تھی ہو اور گھٹیا ہی رہو گی بے شرم بے حیا مکار شاطر سرٹیفائیڈ جھوٹی اور گھٹیا عورت مریم صفدر قطری خط والی,0,1,0,1,1,0
کھربوں چور کی بیٹی حرام کے پیسے پر عیاشیاں سمپل,0,1,0,1,1,0
خباثت کی پڑیا,0,1,0,1,1,0
جھوٹی مکار عورت,0,1,0,1,1,0
پورن ڈائن,0,1,0,1,1,0
د کھنے میں ال ا رکھی فانٹا بوتل,0,1,0,1,1,0
مر جاے اللہ کرے,0,1,0,1,1,0
اللہ کرے مر جائے آمین,0,1,0,1,1,0
بے ضمیر لوھارن,0,1,0,1,1,0
ارشد شریف کی قاتلہ کلیجہ چبانے والی ڈائن,0,1,0,1,1,0
سب سے وڈی رنڈی,0,1,0,1,1,0
آج تمام کلینڈرز رو رھے ہے آج کی ڈیٹ کیوں ھے ھماری سیرز میں,0,1,0,1,1,0
آج کے دور کی ہندہ,0,1,0,1,1,0
فرصت ہو تو مر جاؤ اور کروڑ عوام پر احسان عظیم کر جاؤ,0,1,0,1,1,0
لعنت اور لا تعداد لعنت آپ پے بھی,0,1,0,1,1,0
پورن ہب کی مالکن,0,1,0,1,1,0
بس آج برسی کی تاریخ دے دے گراجن بھگوڑی,0,1,0,1,1,0
جعل سازی کی ماسٹر,0,1,0,1,1,0
چور چور چور چور چور چور چور چور چور چور چور چور چور چور چور چور چور چور چور چور چور چور چور چور چور چور چور چور چور چور چور چور چور چور چور چور چور چور چور چور چور چور چور چور چور چور چور چور چور چور چور چور چور چور چور چور چور چور چور چور چور چور چور چور چور چور چور چور چور چور,0,1,0,1,1,0
چور کی بیٹی,0,1,0,1,1,0
مریم نواز نے جو ٹ وئیٹ ارشد شریف کے بارے میں ریٹ وئیٹ کیا ہے اس سے بس ایک بات ثابت ہوتی ہے\n\nیہ کلیجہ چبانے والی عورت ہے,0,1,0,1,1,0
سنا ہے دنا میں ساتھ ہم شکل ہوتے ہیں تیرے جیسے باقی چھ پہ بھی لعنت,0,1,0,1,1,0
کلیجہ چبانے والی حرامخور عورت,0,1,0,1,1,0
ک ھ و ت ی گ ش ت ی,0,1,0,1,1,0
خونی ڈائین,0,1,0,1,1,0
خون پینے والی چڑیل ارشد کو کھا گئی,0,1,0,1,1,0
نااہل چور بدزبان بدتہذیب اور کچھ یا کافی ہے,0,1,0,1,1,0
ذندگی میں اتنی نفرت کسی سے نہیں جتنی اس عورت سے ہے,0,1,0,1,1,0
اس مین تھوڑی زہر بھی ڈال دو پلیز,0,1,0,1,1,0
ا خ تھ و,0,1,0,1,1,0
پاکستان کی جان چھوڑ دے اور اپنے اصلی ملک لندن میں ہی رہے,0,1,0,1,1,0
نانی فتنہ,0,1,0,1,1,0
منافق جھوٹی بھگوڑی,0,1,0,1,1,0
نانی کرنانی\nبھوتوں کی نانی\nلعنت قبول کر,0,1,0,1,1,0
جس دن یہ پیدا ہوئی اس دن پر بھی لعنت یہ بازی عمران ہی جیتےگا حقیقی آزادی لانگ مارچ,0,1,0,1,1,0
لعنت ہے تیری شکل پے,0,1,0,1,1,0
بے شرمی,0,1,0,1,1,0
جاہل پٹوارن ہے یہ,0,1,0,1,1,0
حرام خور کی حرامی اولاد غیریب کہ مال پر عیاشیاں کرتی ہے,0,1,0,1,1,0
گیراج یافتہ,0,1,0,1,1,0
او ل درجے کی رنڈی اور حرام ذادی کتیا آدی سے پہلے ہی چ د چکی تھی,0,1,0,1,1,0
مرو جان چھورو,0,1,0,1,1,0
کیڑے سور نے جمیا سی تنو,0,1,0,1,1,0
خدارا انسانیت نام کی دو چار گولیاں کھا کے خودکشی کر لو مائی,0,1,0,1,1,0
اللہ پاک لمبی زندگی دے تاکہ ن لیگ کو مزید ذلیل کروا سکے سب کہو آمین,0,1,0,1,1,0
اللہ کرے یہ زہر کا پیالہ ہو,0,1,0,1,1,0
الل ہ کو تکبر پسند نہیں,0,1,0,1,1,0
چور چور چور چور چور چور چور چور چور چور چور چور چور چور چور چور چور چور چور چور چور چور چور چور چور چور چور,0,1,0,1,1,0
کلیجہ چبانے والئ ڈائن,0,1,0,1,1,0
مریم کو لگتا ہے دستوں کی وجہ سے قلت آب ہو گئی ہے او آر ایس جاری رکھے,0,1,0,1,1,0
چورنی چور باپ کی چور بیٹی,0,1,0,1,1,0
ا م جہل,0,1,0,1,1,0
ایک ٹکے کی عورت,0,1,0,1,1,0
اللہ کرے یہ عورت ذیل و رسوا ہو,0,1,0,1,1,0
کلیجہ چپانے والی عورت,0,1,0,1,1,0
گشتوڑی,0,1,0,1,1,0
دو ٹکے کی عورت,0,1,0,1,1,0
سب چوری کا مال ہے بھائی,0,1,0,1,1,0
گیراج رانی سالگرہ مبارک,0,1,0,1,1,0
کاش یہ پیدا ھوتے دفن کردی گئ ھوتی گشتی غدار چورنی,0,1,0,1,1,0
الل ہ پاک حفاظت فرمائے آمین اپنے مقصد میں کامیابی حاصل ہو,0,1,0,1,1,0
جھوٹی ناننی,0,1,0,1,1,0
اس تاریخ پہ بھی لعنت جس دن تم پیدا ھوئی,0,1,0,1,1,0
لعنتی فتنہ عورت,0,1,0,1,1,0
گیراج میں آسانی سے دستیاب فحاشہ ھے,0,1,0,1,1,0
جھوٹ اور گھٹیا پن کی انسانی شکل,0,1,0,1,1,0
توبہ کر لو نانی,0,1,0,1,1,0
بس نانی بہت جی لیا اب دنیا کو باۓ باۓ کردو,0,1,0,1,1,0
ہیپی برتھڈے,0,1,0,1,1,0
کليجہ چبانے والی ہندہ,0,1,0,1,1,0
لغ دی لعنت تیرے جمن تے,0,1,0,1,1,0
پھاپھاکٹن,0,1,0,1,1,0
دھر لکھ دی مبارک,0,1,0,1,1,0
الفاظ ضائع کرنے ہیں اس ڈائن پے,0,1,0,1,1,0
ڈوب مرے لعنتی,0,1,0,1,1,0
ملک تباہ کردیا کیلبری فونٹ لندن تو کیا پاکستان میں بھی جائیداد نہیں,0,1,0,1,1,0
ذلیل مکار بے حس قاتل چورنی بھوڑی,0,1,0,1,1,0
لیٹر ورڈ چلے گا کو سے شروع ہوتا ہے,0,1,0,1,1,0
بڈھی ڈائن عرف ہندہ,0,1,0,1,1,0
توبہ توبہ اللہ بچائے,0,1,0,1,1,0
صرف ایک لفظ نہیں بلکہ بہت سارے الفاظ ہیں لیکن کیا کروں بول نہیں سکتا ادھر ورنہ سمجھدار کے لیے اشارہ ہی کافی ہے,0,1,0,1,1,0
مکار جھوٹی,0,1,0,1,1,0
بے رحم منافق جھوٹی منحوس,0,1,0,1,1,0
بیگم صفدر\nکہنا تو مجھے بھی نہیں چاہیئے لیکن افسوس سے کہنا پڑ رہا ہے\nکہ اس نے ہمیشہ منہ اور ٹانگیں غلط جگہ پر کھولی ہیں,0,1,0,1,1,0
اللہ پاکستان میں آنے کی توفیق نہ دے,0,1,0,1,1,0
یہ ہوتی ہے محبت یہ عام پاکستانی ہی پاکستان کے مالک ہیں حقیقی آزادی مارچ,0,1,0,1,1,0
قانون میں وزیراعلی اور گورنر کے اختیارات کو متوازی رکھا گیا ہے جسٹس عاصم حفیظ گورنر پنجاب کا خیال ہے وزیراعلی پنجاب اعتماد کھوچکے جسٹس عابد عزیز شیخ وزیراعلی پرویز الہی کو ڈی نوٹیفائی کرنے سے متعلق کیس کی سماعت,1,0,0,0,0,0
سربراہ پی ایس پی مصطفی کمال اور فاروق ستار بھی شریک ہونگے,1,0,0,0,0,0
پرویز الہی کو مونس الہی کی طرح بھاگنے نہیں دینگے اعتماد کا ووٹ لو یا گھر جاو ہمیں اچھا نہیں لگتا کہ وزیراعلی کا نام نو فلائی لسٹ میں ا ئے ان کی فیملی کا نام تو نوفلائی لسٹ میں ہے لیگی رہنما عطا تارڈ کی میڈیا سے گفتگو,0,1,0,0,0,0
بلدیاتی الیکشن میں کراچی کے حساس پولنگ اسٹیشن کی سیکیورٹی کا معاملہ وفاقی حکومت نے الیکشن کمیشن کے خط کا جواب دیدیا,1,0,0,0,0,0
دن بجے کی ہیڈلائنز,1,0,0,0,0,0
گورنر دوبارہ نوٹس کریں کہیں اتنے دن میں اعتماد کا ووٹ کیوں نہیں لیا تو کیا ہوگا عدالت وزیراعلی پنجاب پرویز الہی کو ڈی نوٹیفائی کرنے سے متعلق کیس اہم ترین سماعت,1,0,0,0,0,0
اہم ترین خبروں کی تفصیلات,1,0,0,0,0,0
کیا گورنر کے وکیل کوئی ا فر کرارہے ہیں یا نہیں عدالت وزیراعلی پنجاب پرویز الہی کو ڈی نوٹیفائی کرنے سے متعلق کیس اہم ترین سماعت,1,0,0,0,0,0
سٹے بازوں کو دھچکا گندم کی اوپن مارکیٹ کریش,1,0,0,0,0,0
وزیراعلی پنجاب پرویز الہی کو ڈی نوٹیفائی کرنے سے متعلق کیس اہم ترین سماعت اب انہیں مناسبت قت مل چکا ہے اب اعتماد کا ووٹ لیں وکیل وفاقی حکومت عدالت کے اہم ریمارکس,1,0,0,0,0,0
پیپلزپارٹی سے معاہدے پر فیصلہ خالد مقبول نے کرنا ہے کس کی کیا پوزیشن ہوگی فیصلہ پارٹی نے کرنا ہے ایم کیوایم فاروق ستار پی ایس پی سے گزارش کی ہے اختلافات ختم کریں گونر سندھ کامران ٹیسوری کی اے ا ر وائی نیوز سے خصوصی گفتگو,1,0,0,0,0,0
صبح بجے کی ہیڈلائنز,1,0,0,0,0,0
پی ٹی ا ئی کی حکمت عملی کیا ہوگی نمبرز پورےہیں رہنما فواد چوہدری سے خصوصی گفتگو,1,0,0,0,0,0
سندھ میں بلدیاتی الیکشن قریب ا گئے دوریاں بڑھ گئیں پیپلزپارٹی اور ایم کیو ایم پاکستان میں تلخیوں نے تناو کا روپ دھار لیا متحدہ ا ج صوبائی الیکشن کمیشن کے دفتر کے باہر احتجاج کرے گی ایم کیو ایم رہنما وسیم اختر سے باخبر سویرا میں خصوصی گفتگو,1,0,0,0,0,0
پنجاب اسمبلی کا مستقبل کیا اہم سماعت,1,0,0,0,0,0
عمران خان کو الیکشن کمیشن کی جانب سے پارٹی چیئرمین کے عہدے سے ہٹانے کا کیس,1,0,0,0,0,0
پنجاب میں سیاسی ماحول کافی گرم ہے ایوان میں ہنگامہ ا رائی کا سلسلہ جاری کیا پی ٹی ا ئی اور ق لیگ اپنی حکومت بچا پائیں گے,1,0,0,0,0,0
صبح بجے کی ہیڈلائنز,1,0,0,0,0,0
انجکشن پیراسٹ کے غیر معیاری ہونے کا الرٹ جاری,1,0,0,0,0,0
پنجاب اسمبلی کا مستقبل کیا ہوگا لاہور ہائیکورٹ میں ا ج سماعت,1,0,0,0,0,0
سٹے بازوں کو دھچکا گندم کی اوپن مارکیٹ کریش گندم کی قیمتوں میں کمی ا نا شروع ہوگئی,1,0,0,0,0,0
احمد فاران کی واپسی کی سی سی ٹی وی فوٹیج ا گئی,1,0,0,0,0,0
ملک میں ڈالر کا بحران کا شدت اختیارکرگیا دالوں کے درآمد کنندگان سڑکوں پر آگئے,1,0,0,0,0,0
ن لیگ نے صوبائی اسمبلی میں جارحانہ رویہ اختیار کرنے کا فیصلہ,1,0,0,0,0,0
رکن پنجاب اسمبلی مومنہ وحید بک گئی فواد چوہدری,0,1,0,1,1,0
گیس کی قیمت میں ہوشربا اضافہ اوگرا نے منظوری دے دی,1,0,0,0,0,0
سستے آٹے کے اعلان کے بعد گندم کی قیمتیں گرگئیں,1,0,0,0,0,0
صبح بجے کی ہیڈلائنز,1,0,0,0,0,0
صبح بجے کی ہیڈلائنز,1,0,0,0,0,0
لوہے سے بنی پٹیاں سندھ کی روایت بھی ثقافت بھی,1,0,0,0,0,0
پاکستانی پاسپورٹ پر سعودی عرب جانے والے افغان شہری کو گرفتار کرلیا گیا,1,0,0,0,0,0
پنجاب میں کڑاکے کی سردی کا راج شہری دریا پر جاکر مچھلی کا شکار کرنے لگے,1,0,0,0,0,0
رات بجے کی ہیڈلائنز,1,0,0,0,0,0
غیر معیاری سلنڈرز شہریوں کیلئے بڑا خطرہ,1,0,0,0,0,0
مچھلی اور دودھ کا کیا برص سے تعلق ہے ایک اہم سوال کا جواب جو سب کیلئے جاننا انتہائی ضروری,1,0,0,0,0,0
پاکستان اور ا ئی ایم ایف کی جنیوا بیٹھک بے نتیجہ,1,0,0,0,0,0
مہنگائی کے طوفان میں گھری عوام پر ایک اور مشکل اوگرا کی یکم جولائی سے گیس مزید مہنگی کرنے کی منظوری,1,0,0,0,0,0
رات بجے کی ہیڈلائنز,1,0,0,0,0,0
اعتماد کا ووٹ لینے کیلئے نمبر پورے کرنے کی جنگ ا خر نمبر اب تک کس کے پورے ہیں,1,0,0,0,0,0
اہم خبروں کی تفصیلات,1,0,0,0,0,0
پہلے ایجنٹ اور غدار اب بھائی بھائی متحدہ کے دھڑے متحد ہو کر مہاجر ووٹ بینک بچا سکیں گے,0,1,0,1,1,0
پنجاب میں اقتدار کی وہیل چیئر معاملہ کہاں سے شروع ہوا,0,1,0,1,1,0
قبل ازوقت الیکشن پر اعتراض کرنے والی پیپلز پارٹی کیا قومی اسمبلی کی مددت میں اضافے کی حمایت کرتی ہے,1,0,0,0,0,0
مومنہ وحید صبح بجے ا جائیں اور کہہ دیں کہ ہم غلط کہہ رہے ہیں فواد چوہدری کا خاتون ایم پی اے کو کھلا چیلنج,1,0,0,0,0,0
اگر پی ٹی ا ئی اعتماد کا ووٹ نہیں لیتی تو پی ڈی ایم کیا کرے گی قمر زمان کائرہ سے جانیے,1,0,0,0,0,0
جعلی مقدمے بنانا ارکان کو خریدنا یہ دباو ہی ہے اور کیا ہے,1,0,0,0,0,0
عمران خان کا ہر فیصلہ حکم سر ا ںکھوں پر لیکن پی ٹی آئی کی منحرف رکن مومنہ وحید کا بڑا اعلان,1,0,0,0,0,0
مومنہ عمران خان کو مانتی ہے لیکن ان کی بات نہیں مانتی ڈپٹی اسپیکر واثق قیوم کا پی ٹی آئی کے منحرف ارکان پر تبصرہ,1,0,0,0,0,0
رات بجے کی ہیڈلائنز,1,0,0,0,0,0
پولیس نے خواتین کو مارنے والے سائیکو کلر کی تصویر جاری کر دی,1,0,0,0,0,0
فواد چوہدری صاحب کا ضمیر تو تین چار بار جاگ چکا ہے منحرف رکن پی ٹی آئی مومنہ وحید فواد چوہدری کے الزام پر جذباتی ہوگئی,0,1,0,1,1,0
اہم خبروں کی تفصیلات,1,0,0,0,0,0
پنجاب اسمبلی کے باہر رانا ثنا اللہ کی گاڑی پر جوتا پھینکا گیا,0,1,0,0,0,0
منی لانڈرنگ کیس وزیر اعلی پنجاب پرویز الہ ی کے بیٹے راسخ الہ ی ایف ا ئی اے میں پیش,1,0,0,0,0,0
کیا حکومت عمران خان کو سیاست سے مائنس کرنے میں کامیاب ہوپائیگی الیکشن ہونگے یا نہیں جانیے اہم تجزیہ,1,0,0,0,0,0
نوٹنکی سالے,0,1,0,1,1,0
جو کھوتی کا بچہ الیکشن ہارتا نظر آتا ھے وہ الیکشن کا التواء چاہتا ھے اس طرح تو الیکشن کبھی بھی نہیں ھوں گے کوئی نہ کوئی تو ہارے گا,0,1,0,1,1,0
چوروں کا ترجمان خطا تارڑ,0,1,0,1,1,0
ہمارا مقابلہ بغیرتی کے ان پہاڑوں سے ہےجن کو بیس کلو آٹا میں مہنگا اور میں سستا لگتا ہے,0,1,0,1,1,0
لومری,0,1,0,1,1,0
تڑ تڑ سانپ حقائق درست کر لیا کریں بیرون ملک کون بھاگا ہوا ہے اور کون جانا چاہتا ہے وہ کہیں کرپشن دا پاوا تو نہیں,0,1,0,1,1,0
چور چور چور چور چور چور چور ترفرر لعنت لعنت لعنت لعنت لعنت لعنت,0,1,0,1,1,0
عطا تارڈ,1,0,0,0,0,0
عطاء,1,0,0,0,0,0
تارڑ لومڑی,0,1,0,1,1,0
آرام سے آرام سب کو گالی دینے کا بھرپور موقع ملے گا دھکم پھیل سے گریز کریں قطار میں آگے بڑھے اور حصب توفیق میں آپنا حصہ ڈالے,0,1,0,1,1,0
ڈنٹونک والا بندر,0,1,0,1,1,0
جا اوے بد شکلے,0,1,0,1,1,0
